x	y	clickSelects	xmin	xmax	ymin	ymax
-20	24	0,0	-45	5	-1	49
30	24	50,0	5	55	-1	49
30	74	50,50	5	55	49	99
80	74	100,50	55	105	49	99
80	124	100,100	55	105	99	149
130	124	150,100	105	155	99	149
130	174	150,150	105	155	149	199
180	174	200,150	155	205	149	199
180	224	200,200	155	205	199	249
230	224	250,200	205	255	199	249
80	24	100,0	55	105	-1	49
180	124	200,100	155	205	99	149
130	74	150,50	105	155	49	99
230	174	250,150	205	255	149	199
280	224	300,200	255	305	199	249
130	24	150,0	105	155	-1	49
230	124	250,100	205	255	99	149
280	174	300,150	255	305	149	199
180	74	200,50	155	205	49	99
180	24	200,0	155	205	-1	49
280	124	300,100	255	305	99	149
230	74	250,50	205	255	49	99
330	174	350,150	305	355	149	199
280	74	300,50	255	305	49	99
330	124	350,100	305	355	99	149
230	24	250,0	205	255	-1	49
280	24	300,0	255	305	-1	49
330	74	350,50	305	355	49	99
380	124	400,100	355	405	99	149
330	24	350,0	305	355	-1	49
380	74	400,50	355	405	49	99
380	24	400,0	355	405	-1	49
430	74	450,50	405	455	49	99
430	24	450,0	405	455	-1	49
480	24	500,0	455	505	-1	49
